UrlHash	Prompt	RefinePrompt
Internal10035_Prompt3	 Top-down kitchen flat lay: reusable bag opened, an ordered spread of everyday groceries—milk, eggs, bananas, bread, coffee—arranged for easy unpacking. Outcome-first: calm, time-saving order replacing an empty countertop. Morning window light, gentle shadows, textures of produce emphasized. 35mm top-down, f/2.8 shallow depth with selective focus on fresh items; background surfaces softly blurred. No people visible; household practicality and reliability conveyed through neat arrangement. Realistic lighting, sharp focus, clean composition, uncluttered background. Correct realism, no extra text, no logos, no watermark, no UI elements. 	 An overhead view of a tidy kitchen counter in soft morning light. An open reusable shopping bag sits at the center, its canvas gently creased, with an orderly spread of everyday groceries laid out as if just unpacked: a carton of milk, a tray of eggs, a small bunch of ripe bananas, a loaf of crusty bread, and a bag of coffee. Sunlight from a nearby window falls across the scene, casting gentle, long-edged shadows and giving the arrangement a calm, time-saving feel, as though the once-empty surface has been quickly organized for easy putting away.  Textures are clearly visible: the woven fabric of the bag, the smooth milk carton, speckled eggshells, the soft yellow of the bananas with faint freckles, the flour-dusted crust of the bread, and the matte paper of the coffee bag. The colors appear natural and understated, with cool daylight highlights and warm tones in the food. The fresh items look crisp and detailed while the plain, light countertop softens slightly toward the edges, leaving open space around the arrangement. The neat layout suggests everyday practicality and reliability in a quiet, undisturbed moment. 
Internal10024_Prompt4	 Native ad visual, Australian home office morning light. Value-first focus: a calm, interruption-free workspace—laptop and tablet angled naturally with soft screen reflections (content indistinct), a tidy modem and NBN wall box on a side shelf with stable LEDs. Solo professional (mid-30s, light stubble, neutral sweater) on a headset, looking slightly off-screen, relaxed posture. Before/after implied through order: foreground crisp, organized desk; background softly blurred leafy yard through window. Signals reliable, secure, efficient connectivity through serene productivity, no clutter. 50mm prime lens, f/2.8, shallow depth of field, gentle bokeh, natural perspective. Correct anatomy, natural hands and limbs, realistic materials, balanced cool-white lighting, photorealistic detail. Clean composition, uncluttered background. No text, no logos, no watermark, no UI elements. 	 A quiet Australian home office bathed in cool morning daylight. A solo professional in their mid-30s with light stubble sits at a neat wooden desk, wearing a neutral sweater and a lightweight headset, looking slightly off-screen with a relaxed posture. A laptop and a tablet rest at natural angles, their glass screens catching soft reflections with the content indistinct. On a side shelf, a tidy modem and an NBN wall box show small LEDs glowing steadily, with cables arranged cleanly. The foreground desk is organized and clear, while the view through a nearby window shows a leafy suburban yard softly out of focus, hinting at gum leaves outside. Subtle shadows and natural color give the room gentle depth. Textures feel real: the brushed metal of the laptop, the smooth tablet glass, the knit of the sweater, and the matte casing of the network equipment. The scene suggests steady, secure connectivity through a calm, interruption-free workspace. 
Internal10024_Prompt3	 Native ad visual, high-tech Australian gaming setup. Dynamic side view: gamer (mid-20s, medium build, short hair, relaxed focus) mid-flick with mouse; crisp hand motion with subtle motion blur on peripherals; ethernet cable visibly connected. Value-first focus on fluid action and stable RGB-lit rig, no on-screen overlays. Before/after implied: distant background softly blurred with warm tones; foreground crisp, cool, and controlled. Reliability and low-latency suggested via clean cable management and steady LED indicators. 35mm lens, f/2.8, shallow depth of field, cinematic bokeh, natural perspective. Realistic skin and posture, correct anatomy, natural hands, candid—eyes on screen, not camera. High-contrast but noise-free, photorealistic textures, matte polymers, soft reflections. Clean composition, uncluttered background. No text, no logos, no watermark, no UI elements. 	 A modern Australian gaming setup seen from the side, with a gamer in his mid‑twenties, short hair and a medium build, sitting at a clean desk. His wrist is mid‑flick on the mouse, shoulders relaxed, eyes calmly fixed on the screen as the moment of action passes through his hand; the peripherals carry a gentle blur that hints at speed. The RGB‑lit tower glows steadily in cool, even colors, casting soft reflections along matte plastic and brushed metal surfaces. An ethernet cable is clearly plugged into the rig, and the cables are neatly routed, while small status LEDs shine with a constant, reassuring light.  The foreground feels crisp and controlled with cool tones and well‑defined edges, while the room behind falls softly out of focus in warm hues that add depth without pulling attention away. Natural shadows shape the gamer’s face and hands, and fine textures are visible on the mouse, keyboard, and case. The desk is uncluttered and orderly, the scene conveying fluid play and dependable performance in a calm, lived‑in home environment. 
Internal10023_Prompt3	 Youth soccer sideline prep: a parent (mid-30s) kneels to snugly tie a child’s athletic sneaker before practice. Focus on the shoe: reinforced heel, flexible forefoot, secure lacing, grippy tread touching green turf. The child gazes toward the field, not the camera; candid, calm anticipation. Reliable, family-friendly tone through public park bleachers and folded pinnies nearby. 50mm prime, dynamic side view, f/2.8 shallow depth of field; sharp hands and shoe, soft bokeh of cones and teammates. Correct anatomy, natural hands and limbs, realistic skin and fabric textures, clean composition, uncluttered background. No extra text, no logos, no watermark, no UI elements. No studio backdrop; natural light and true-to-life colors; sharp focus. 	 A parent in their mid-thirties kneels on the soccer sideline, snugly tying a child’s athletic sneaker before practice. Viewed from the side at ground level, the hands and shoe are clearly seen while the field beyond becomes softly blurred. The sneaker shows a reinforced heel, a flexible forefoot that bends slightly as the laces are pulled, and secure lacing across the tongue. The grippy tread presses into short green turf, with blades catching light and a faint imprint beneath the sole. The child looks toward the field with calm anticipation. Nearby, public park bleachers, folded pinnies, and scattered cones suggest a friendly team environment, softened in the background. Soft daylight renders natural color—the green turf, muted cones, and warm skin tones—and casts gentle, realistic shadows. Subtle textures are visible in the parent’s hands, the knit of the socks, the mesh of the pinnies, and the slight scuffing on the shoe, with an easy, unposed posture that keeps the moment feeling genuine and caring. 
Internal10025_Prompt1	 Photorealistic arrival into a stylish city hotel suite at golden hour: a traveler (early 30s, smart-casual blazer, relaxed expression) sets a leather weekender beside a plush bed, floor-to-ceiling window reveals an urban skyline softly blurred. Value-first focus on serene interior textures—crisp linen, marble bathroom glimpse, warm wood, subtle ambient light—contrasting the bustling city outside. 50mm prime lens, shallow depth of field at f/2.8, subject sharp, skyline recognizable bokeh. Candid angle; subject not looking at camera. Correct anatomy, natural hands, natural skin texture, clean composition, uncluttered background. Premium yet attainable atmosphere. No extra text, no logos, no watermark, no UI elements, no floating objects. Realistic lighting, accurate reflections on glass, professional color grading. 	 Golden hour light spills across a stylish city hotel suite as a traveler in his early thirties, wearing a smart-casual blazer, sets a leather weekender down beside a plush bed. Floor-to-ceiling windows reveal an urban skyline in gentle blur, with faint reflections drifting across the glass. The scene lingers on the room’s calm textures—crisp linen, a glimpse of a marble bathroom, and warm wood surfaces—while soft ambient light pools on the floor and casts natural shadows along the bed and bag. His expression is relaxed and he doesn’t look toward the camera; his hands settle on the handles with an easy motion, where subtle skin texture and the leather’s fine grain catch the light. Colors feel warm and inviting, with sunlit highlights and quiet midtones that keep the space open and uncluttered. Observed from a candid angle, the moment is refined yet welcoming, with the city’s energy present but held at a gentle distance. 
Internal10026_Prompt5	 A serene bathroom scene: a person in a soft robe gently turning their forearm under warm light, admiring an even, natural tan. In the foreground, a self-tan mousse canister and mitt rest neatly on the marble counter; perfume bottle softly blurred behind. Subject’s gaze is on their skin, not at camera; relaxed, confident, trend-forward glow. 35mm prime lens, f/2.8, shallow depth of field; clean composition, uncluttered background, color-accurate, balanced exposure. Correct anatomy, natural hands and limbs, realistic skin texture. No nudity, no sexualized posing. No extra text, no logos, no watermark, no UI elements. No floating objects. Value-first: the visible result—radiant, reliable, premium yet approachable. 	 A quiet, tidy bathroom with a marble counter glows with warm, diffuse light that lays soft highlights across the surfaces. A person in a plush robe gently turns their forearm, studying the even, natural tan on their skin; their gaze rests on the subtle color and texture rather than the camera. Fine pores and delicate hairs catch the light, with smooth transitions of tone from wrist to elbow and a soft shadow falling onto the counter. In the foreground, a self-tan mousse canister and a tanning mitt rest neatly on the marble within arm’s reach, their edges crisp and surfaces lightly reflective; a small perfume bottle sits farther back, softly out of focus to add depth. The scene feels uncluttered and calm, with warm neutrals and clean whites, realistic reflections on the stone, and gentle falloff that separates the subject from the background. Understated packaging and the clean setting create a refined, easygoing mood, keeping attention on the consistent, natural glow of the tan. 
Internal10037_Prompt3	 A macro close-up of a designer’s hand hovering above a trackpad while a tablet at a natural, slight angle displays a clean thumbnail grid of HD/4K stock visuals and a minimal, unlabeled search bar. Subtle reflections match the studio light; the grid is the focal point, finger mid-gesture implying effortless selection. 50mm prime feel, extreme close-up, shallow depth of field f/2.8; sharp focus on thumbnails and fingertip, creamy bokeh on background desk items. Correct anatomy, natural skin texture, premium materials, clean composition, uncluttered workspace. No extra text, no logos, no watermark, no brand names. 	 A close view of a designer’s hand hovering above a smooth trackpad beside a tablet on a tidy desk. The tablet rests at a slight angle, its glass catching soft light with faint, clean reflections, and the screen shows a neat grid of crisp stock visuals with a simple search field above. The fingertip is paused mid-gesture, suggesting effortless selection. Fine skin texture and natural color are visible on the hand, with gentle highlights along the knuckles and a soft shadow across the trackpad. The tablet’s metal edge and the trackpad’s matte surface feel refined, while background desk items melt into a gentle blur that keeps attention on the thumbnails. 
Internal10022_Prompt5	 Lifestyle outcome in a café: a woman in her late 30s, dark brown skin, minimal makeup, mid-laughter with friends, holding a glass of water. Her new smile is the focal point; soft morning light transitions to warm interior glow, suggesting a same-day confidence shift without explicit text. Background: clean, subtle bokeh of cups and plants—no clutter. Clinical connection is implied by a discreet, out-of-focus case of implant prosthetics resting on the table edge. 50mm prime lens, f/2.8, shallow depth of field, natural perspective, correct anatomy, realistic tooth shade, clean composition, uncluttered background. Subject not looking at camera. No graphic medical content, no blood. Natural hands and limbs. No extra text, no logos, no watermark, no UI elements. 	 In a quiet café, a woman in her late thirties with dark brown skin and minimal makeup laughs with friends as she lifts a clear glass of water. Her smile catches the soft morning light from the window, showing a natural tooth shade with gentle highlights, and the scene warms into the cozy glow of the interior. Cups and leafy plants blur in the background, lending a calm, uncluttered feel. On the edge of the table, a small case of implant prosthetics sits slightly out of focus, a discreet hint of the clinical side of her day. She looks toward her friends rather than the camera, her posture easy and her hands relaxed. The wood grain of the table, the smooth ceramic, and the clarity of the glass are crisp, while soft shadows and believable depth create a comfortable, lived-in realism and a quiet sense of fresh confidence. 
Internal10022_Prompt2	 Extreme close-up of lab-fabricated implant teeth on a stainless tray, freshly finished: porcelain texture, fine gumline contours, polished yet realistic shade. A technician’s gloved hand adjusts the final fit with precision calipers, capturing the moment of exact alignment. Bright, sterile clinic lighting with subtle reflections, orderly tools, and an immaculate surface imply the “before/after” shift from raw components to finished teeth. 50mm prime lens, f/2.8, shallow depth of field, crisp focus on the prosthetic, clean composition, uncluttered background. Correct proportions, natural materials, no graphic medical content. No faces. Natural hand pose. No extra text, no logos, no watermark, no UI elements. 	 A tight close-up in a dental lab shows a set of freshly finished implant teeth resting on a stainless steel tray. The porcelain crowns have a soft, natural ivory tone with gentle translucence at the edges, and the gumline contours are smooth and finely shaped. A technician’s gloved hand enters from the side, holding precision calipers as the tips meet the edge of a crown, capturing the moment of exact alignment. Cool, even clinic lighting spreads across the scene, creating clean reflections along the metal tray and calipers and casting subtle, crisp shadows that reveal the brushed texture of the steel. Neatly arranged tools sit in the background, and a few raw components on the tray hint at the transition from parts to a finished prosthetic. The focus rests on the teeth and caliper tips while the pale, orderly workspace softens into a gentle blur, emphasizing the lifelike scale and materials in a calm, meticulous setting. 
Internal10021_Prompt3	 Tournament check-in tent: duffel bags lined on a table, each with sturdy personalized bag tags clipped to zippers. A coach (30s, windbreaker) hands a tag to a mixed-age group of players; smiles and chatter blurred in background—candid, no one looking at camera. Center the tag’s laminated finish, smooth edges, secure clip, vibrant team colors. Shot on 35mm prime, f/2.8, shallow depth of field, natural overcast light. Correct anatomy, natural hands and limbs, realistic materials, sharp focus, clean composition, uncluttered scene. Efficient organization and team spirit implied. No extra text, no readable names or logos, no watermark, no UI elements. 	 Under a white canopy at a tournament check-in, a neat row of duffel bags rests on a folding table, each zipper clipped with a personalized bag tag. A coach in his thirties wearing a windbreaker holds out a tag to a mixed-age group of players gathered beside the table. The frame lingers on the tag in his hand: the laminated surface catches the soft, overcast daylight with a gentle sheen, its smooth rounded edges and sturdy metal clip clearly visible, the team colors vivid and clean. Behind them, the players smile and chat with one another, softly blurred and unaware of the camera. The nylon of the bags, the zippers, and the coach’s hands show natural texture and subtle, even shadows. The scene feels orderly and calm, with open space around the table and a clear layout that suggests easy organization and team spirit. 
Internal10021_Prompt2	 Morning kitchen scene: a stainless sports water bottle with a personalized decal is lifted from a steaming dishwasher rack, colors vivid and edges intact. Parent’s hand (30s, casual hoodie) passes the bottle to a kid in a practice jersey, both softly blurred—candid, not looking at camera. Focus on durable laminate, water beads, and clean adhesion. Shot on 50mm prime, f/2.8, shallow depth of field, natural daylight. Correct anatomy, natural hands and limbs, realistic materials, sharp focus, clean composition, uncluttered background. Reliable, affordable everyday use implied. No extra text, no readable names or logos, no watermark, no UI elements. 	 A quiet morning in a sunlit kitchen. Steam drifts from an open dishwasher as a stainless sports water bottle is lifted from the rack, its personalized decal bright against the brushed metal with crisp, intact edges. Beads of water cling to the laminate and trail toward the base, showing smooth, secure adhesion along the seam. A parent in a casual hoodie reaches to pass the bottle to a child in a practice jersey; their natural handoff is candid and softly out of focus, attention on each other rather than posing. The bottle is sharply rendered with realistic textures, gentle reflections, and soft shadows that anchor it in the scene. Warm daylight filters across a clear counter and a simple backdrop, conveying an easy, everyday routine and a durable bottle ready for regular use. 
Internal10021_Prompt1	 Hockey locker room after practice: a wall rack of near-identical sticks. One stick’s vibrant personalized decal catches warm light, gleaming through condensation and scraped tape. A teen’s natural hand reaches for it, head turned toward teammates in the soft bokeh—candid, not looking at camera. Value-first framing on the sticker’s laminated edge, clean adhesive, crisp color. Shot on 50mm prime, f/2.8, shallow depth of field, natural lighting. Correct anatomy, natural hands and limbs, realistic materials, sharp focus, clean composition, uncluttered background. Team spirit and family-friendly pride implied. No extra text, no readable names or logos, no watermark, no UI elements. 	 After practice in a hockey locker room, a wall rack holds a row of near-identical sticks, their shafts damp with condensation and the tape scuffed from use. One stick stands out with a vibrant personalized decal, its laminated edge catching warm locker room light and glinting against the worn surface. A teenager reaches for it with an easy, natural grip, head turned toward teammates who linger in a soft, out-of-focus background. The moment feels candid and unposed, with the sticker close in the frame so its color reads clearly and the adhesive line looks tidy. Warm overhead light creates gentle highlights and believable shadows across wood grain, frayed tape, and skin, while the muted tones of jerseys and benches settle quietly behind. The scene suggests team spirit and a proud sense of ownership, simple and genuine. 
Internal10021_Prompt5	 Game-day garage: ski poles, tennis racket, pickleball paddle, hockey stick, and a water bottle arranged neatly—each sporting vibrant personalized decals. Parent and teen lace up shoes in the soft bokeh—candid, not looking at camera. Focus on texture: laminated shine, smooth adhesion on metal, plastic, and composite surfaces; subtle water beads on the bottle. Shot on 35mm prime, f/2.8, natural morning light, shallow depth of field. Correct anatomy, natural hands and limbs, realistic materials, sharp focus, clean composition, uncluttered background. Family-friendly pride and practical reliability implied. No extra text, no readable names or logos, no watermark, no UI elements. 	 A tidy garage on game day, with ski poles, a tennis racket, a pickleball paddle, a hockey stick, and a water bottle arranged neatly on a bench. Each item features bright, personalized decals that catch the morning light with a gentle laminated sheen, adhering smoothly to metal, plastic, and composite surfaces. Fine textures stand out—the slight grain of carbon fiber, the smooth weave of racket strings, and tiny water beads clinging to the bottle. In the background, softly blurred, a parent and a teen crouch to lace their shoes, hands moving naturally and attention on the task, not the camera. Light filters in from the open door, casting soft shadows and giving the scene a calm, airy feel with a natural sense of depth. Colors appear true and lively without looking exaggerated, and the space feels uncluttered and easy to read. The mood suggests family pride and the dependable readiness of gear that’s built to be used. 
Internal10022_Prompt1	 A candid smile-reveal in a modern dental clinic: a woman in her 50s with natural makeup, medium skin tone, looks into a handheld mirror at her new permanent teeth while a clinician’s gloved hand steadies the mirror. Soft daylight and tidy instruments imply before/after—shadowed consultation corner recedes, bright, ordered operatory lights gently illuminate the finished smile. Subtle blur of lab-fabricated implant teeth on a tray in the background anchors the transformation. 50mm prime lens, f/2.8, shallow depth of field, natural perspective, correct dental anatomy, realistic tooth shade, clean composition, uncluttered background. Subject not looking at camera. No graphic medical content, no blood. Natural hands and limbs, accurate PPE. No extra text, no logos, no watermark, no UI elements. 	 A woman in her fifties with medium-toned skin and understated makeup sits in a bright, orderly dental operatory. She lifts a small handheld mirror and studies her new smile while a clinician’s gloved hand steadies the mirror. Soft daylight from a nearby window blends with the cool glow of the operatory lights, giving her teeth a gentle enamel sheen and a lifelike shade; subtle shadows shape her cheeks and jaw. Tidy instruments rest neatly at the chairside, and a tray with lab-made implant teeth lies softly out of focus in the background, quietly marking the transformation. The consultation corner recedes into shadow, drawing attention to her relaxed expression and the natural alignment and proportions of the teeth. Skin texture, the matte surface of the gloves, and polished metal details are clearly visible, while the background remains calm and uncluttered. She looks at her reflection rather than the camera, captured in a quiet, genuine moment of satisfaction. 
Internal10022_Prompt3	 Dynamic side view of a man in his 40s, olive skin, casual shirt, confidently smiling as he walks down a clinic hallway with warm evening light; frosted glass doors and tidy framed imagery blur in the background. His new teeth catch soft highlights; the environment’s order and calm imply a rapid, completed transformation. A discreet tray with sealed implant cases sits on a side table, out of focus, grounding the service. 50mm prime lens, f/2.8, shallow depth of field, natural perspective, correct anatomy, realistic tooth shade, clean composition, uncluttered background. Candid gaze away from camera. No graphic medical content, no blood. Natural hands and limbs. No extra text, no logos, no watermark, no UI elements. 	 A side view of a man in his forties with olive-toned skin walking down a quiet clinic hallway at dusk. He wears a casual shirt and moves with an easy, confident stride, looking past the camera with a relaxed, candid expression. Warm evening light filters through frosted glass doors, casting a gentle glow across pale walls and smooth floors. His new teeth catch soft highlights and appear naturally bright, with subtle reflections that feel true to life. Neat framed images along the corridor and the outlines of doorways fall softly out of focus behind him, giving a sense of depth. On a small side table, a discreet tray holds sealed implant cases, slightly blurred yet clearly present. His hands hang naturally at his sides, sleeves resting lightly, with visible textures in the fabric and skin. Calm shadows trace the hallway, and the orderly setting reinforces the feeling of a recent, well-completed transformation. 
Internal10020_Prompt1	 Refined urban luxury street scene at dawn: a premium midsize sedan matching the proportions and design cues of the 2025 Lexus ES 250 AWD Premium Package glides past modern storefronts on a light drizzle morning. Dynamic side view with realistic motion blur on wheels, water beading on paint, soft city reflections on glass. 50mm prime lens, f/2.8, shallow depth of field; the vehicle is the focal point. Driver silhouette visible through side window, looking ahead, not at camera. Clean composition, accurate scale, photorealistic materials, natural lighting. No visible logos, badges, or text; no watermark. Safety and realism: correct car proportions, plausible reflections, street markings aligned, tires and brake calipers rendered accurately. Efficient, reliable mood via smooth, confident stance. 	 At dawn, a premium midsize luxury sedan with proportions and refined detailing reminiscent of a 2025 Lexus ES 250 AWD glides along a rain-damp city street past modern storefronts. Seen in a dynamic side view, the wheels blur gently as it rolls, beads of water cling to the paint, and muted reflections of shop windows move across the glass. The driver’s silhouette is visible through the side window, looking ahead with calm focus. Soft early morning light and a light drizzle create cool tones and subtle highlights; lane lines run true beneath the car, and the bodywork, tires, and brake calipers show realistic texture and depth. The background falls softly out of focus, keeping the sedan the clear center of attention and giving it a smooth, confident stance. 
Internal10020_Prompt3	 Extreme close-up macro of the wood-trim interior and perforated ventilated leather seat in a premium midsize sedan modeled on the 2025 Lexus ES 250 AWD Premium Package. A relaxed hand (natural skin texture, correct anatomy) lightly grazes the wood, showing fine grain, satin sheen, and precise fit. The 8.0-inch touchscreen is softly defocused in the background, catching ambient reflections; no readable text. 50mm macro feel, f/2.8 shallow DOF, crisp detail, clean composition, accurate materials, realistic lighting. No logos, no watermark, no extra text. Premium, trustworthy mood expressed through craftsmanship, tactile textures, and seamless panel alignment. Emphasize quiet luxury and everyday usability; no floating objects, no exaggerated highlights. Photorealistic, refined, uncluttered. 	 A tight close-up inside a premium midsize sedan, reminiscent of a 2025 Lexus ES 250 with the Premium Package. A relaxed hand lightly grazes the satin-finished wood trim on the console, revealing fine grain, a smooth sheen, and tight panel alignment beside the perforated, ventilated leather seat with soft, breathable texture and neat stitching. Gentle, diffused cabin light brings out natural wood tones and the matte leather surface, with soft shadows shaping the contours and a calm, quiet atmosphere. In the background, the 8-inch touchscreen is softly blurred, catching faint ambient reflections. The scene feels refined and reassuring, focusing on craftsmanship, tactile comfort, and everyday usability in an uncluttered frame. 
Internal10020_Prompt4	 City curbside evening: a premium midsize sedan aligned perfectly within tight parking lines, conveying confident assistance and everyday ease. Wet pavement glows under warm streetlights; the car’s metallic paint and glass show natural reflections, light beading from earlier rain. A driver (late 20s, casual coat) steps away with keys in hand, relaxed posture, not looking at camera. 35mm prime lens, f/2.8, shallow DOF; the car’s stance and precise placement are the focal point, background softly blurred. Clean composition, realistic proportions, accurate wheel angle, true-to-life lighting. No visible logos or text, no watermark. Safety and realism: correct anatomy, natural hands, plausible shadows, consistent reflections. Premium, reliable, efficient tone through order, control, and effortless urban routine. 	 An evening city curbside scene with a premium midsize sedan parked neatly within the tight lines, its stance precise and calm. The wet pavement glows under warm streetlights, sending soft amber reflections across the metallic paint and glass, where fine beads of rain still cling from an earlier shower. A driver in their late twenties, wearing a casual coat, steps away with keys in hand and a relaxed posture, looking down the street rather than toward the camera. The background fades gently out of focus, while the car’s careful placement and straight front wheels draw the eye. Colors feel natural under the mixed streetlight glow, with crisp highlights on the bodywork and deep, grounded shadows beneath the chassis and along the curb. Reflections on the doors and windshield mirror the sidewalk, parked cars, and overhead lamps in a believable way, and the driver’s hands and stride appear effortless and natural. The overall mood suggests quiet confidence and everyday ease, an orderly moment in an efficient urban routine after rain. 
Internal10024_Prompt2	 Native ad visual, Australian small business boardroom. Value-first focus: a wall-mounted screen shows a crystal-clear video call with diverse colleagues (faces visible, no overlays), while a team of three in the room (late 20s–40s, smart-casual, natural makeup) listen attentively, not looking at camera. Ordered space: cable-managed conference table, discreet modem and NBN connection point along the wall, soft LED status lights. Before/after implied via contrast: foreground sharply lit and organized, background softly blurred. Signals reliability, security, efficiency through calm, interruption-free scene. 50mm prime lens, f/2.8, shallow depth of field, gentle bokeh, natural perspective. Realistic materials, glass reflections, balanced cool lighting. Correct anatomy, natural hands and limbs, clean composition, uncluttered background. Ultra-detailed, photorealistic. No text, no logos, no watermark, no UI elements. 	 A quiet boardroom in an Australian small business during a video meeting. A wall-mounted screen shows a clear, lifelike call with a diverse group of colleagues, their faces well lit and easy to read. Three people in the room—late twenties to forties, dressed smart-casual with natural makeup—sit around a tidy, cable-managed conference table and listen attentively to the call, looking toward the screen rather than the camera; their hands rest naturally on notebooks and a laptop. Along the wall, a compact modem and the NBN connection point blend into the space, with small LED indicators glowing softly. Cool, even light fills the room, bringing out the fine grain of the tabletop, smooth glass reflections, and gentle metal highlights. The foreground is crisp and organized while the background falls into a soft blur, with subtle shadows that add a calm sense of depth. The scene feels steady and uninterrupted, quietly suggesting reliable, secure, efficient connectivity. 
Internal10023_Prompt4	 Gym class action: a child’s sneakers captured mid jump-rope, hovering inches above a polished school gym floor. Emphasize traction pattern, cushioned midsole, and breathable mesh as the rope blurs into a clean arc. The child looks down at the rope, not at the camera; candid concentration, playful confidence. Affordable reliability suggested by everyday PE setting, simple shorts and tee. 50mm prime, f/2.8 shallow depth of field; shoe sharply detailed, tasteful bokeh of painted court lines and stacked mats. Correct anatomy, natural limbs, realistic textures, clean composition, uncluttered background. No extra text, no logos, no watermark, no UI elements. No studio backdrop; natural light reflections and faithful color; sharp focus. 	 A child in gym class is mid jump-rope, their sneakers suspended a few inches above a polished school gym floor. The shoe is the clear focus, with the grippy traction pattern, cushioned midsole, and breathable mesh visible in crisp detail, including fine stitching and subtle creases. The rope sweeps through the frame in a smooth, blurred arc. The child looks down at the rope with quiet concentration and playful confidence, dressed in simple shorts and a tee in an everyday PE setting. Sunlight from high windows spills across the floor, creating gentle reflections and natural, true-to-life colors. Painted court lines and neatly stacked mats recede into a soft blur, adding depth, while a small shadow beneath the shoe anchors the moment in motion. 
Internal1002_Prompt3	 Live online learning at home, implied not shown: an early-30s white man in a quiet workspace takes precise handwritten notes and simple diagrams (no text) while a laptop sits at a natural slight angle off to the side, screen content out of frame; soft screen glow reflects on his notebook and pen; value-first focus on the structured notes and engaged posture; evening lamplight adds warmth. Natural perspective, 50mm prime lens, shallow depth of field (f/2.8). Correct anatomy, natural hands and limbs, sharp focus on notebook and pen, clean composition, uncluttered background, no extra text, no logos, no watermark, no UI elements. Subtle reflections on device, realistic materials, professional and calm mood. 	 A white man in his early thirties sits at a tidy home desk in a quiet room, leaning in with an engaged posture as he writes clear, precise notes and sketches simple diagrams in a notebook. An open laptop rests slightly off to the side, turned just enough that its screen is out of view; a cool screen glow brushes the paper and the metal pen, catching along the ink lines and his fingertips. Warm evening lamplight pools across the desk and blends with the cooler screen light, casting gentle, natural shadows that give the scene depth. The notebook pages show structured layouts and careful handwriting, and the desk surface, paper grain, and brushed aluminum of the device appear realistic with subtle reflections. The background stays calm and uncluttered, softly fading, and the mood is professional and relaxed, suggesting a live online learning session at home without showing the screen content. 
Internal10020_Prompt5	 Golden-hour highway rolling shot: a premium midsize sedan inspired by the 2025 Lexus ES 250 AWD Premium Package cruises smoothly in the right lane, low angle three-quarter view. Sunlight skims the body, highlighting precise lines; interior glimpse shows calm passengers (diverse pair, minimal makeup) conversing softly, eyes on the road or scenery, not camera. 50mm lens, f/2.8, shallow DOF; vehicle in sharp focus, background lanes and hills gently motion-blurred. Clean composition, realistic materials, accurate proportions, consistent reflections. The 8.0-inch touchscreen is visible at a natural angle with subtle glow; no readable text. No logos, no watermark. Safety and realism: proper wheel rotation blur, aligned lane markings, plausible shadows. Premium, reliable, efficient mood through serene, effortless travel. 	 Golden hour on a wide highway, a premium midsize sedan inspired by the 2025 Lexus ES 250 AWD Premium Package glides in the right lane, seen from a low front three-quarter angle. Warm sunlight skims the body, tracing crisp character lines and smooth metallic paint, while soft reflections of sky and distant hills roll across the doors and hood. The car remains clear against gently blurred lanes and hills, sitting naturally on the asphalt with convincing depth and shadow under the chassis. Wheels show a subtle rotation blur, and lane markings run neatly beneath. Through the side window, a diverse pair of calm passengers with minimal makeup speak quietly, eyes on the road and the scenery, relaxed and engaged. The cabin looks tidy and modern, with an 8.0-inch touchscreen catching a soft, diffused glow at a comfortable angle. Light and shadow fall consistently across glass and metal, giving the scene a quiet, confident sense of effortless travel. 
Internal10021_Prompt4	 Extreme close-up: a natural hand peels a personalized sports sticker from coated recyclable backing paper. The adhesive sheen, crisp cut line, and laminated surface catch soft window light; a hockey tape roll and shin guard blur behind. Shot on 50mm prime with close-focus, f/2.8, shallow depth of field. Correct anatomy, natural fingers, realistic materials, sharp focus on the sticker edge, clean composition, uncluttered background. Efficient, easy-to-peel reliability implied. No extra text, no readable names or logos, no watermark, no UI elements. 	 A tight close-up shows a natural hand peeling a personalized sports sticker from its coated, recyclable backing paper. Soft window light skims the laminated surface and catches the adhesive sheen, revealing a crisp cut line as the corner lifts. The fingers hold the edge with a relaxed, easy grip, and the sticker separates smoothly, suggesting reliable, effortless application. A hockey tape roll and a shin guard sit in gentle blur behind, adding a quiet rink-side context. The sticker’s edge appears in clear focus with realistic textures, natural color, and subtle shadows against an open, softly lit background. 
